Season,Player,LeagueGoals
2004-05,Milan Baros,9
2004-05,Luis Garcia,8
2004-05,Steven Gerrard,7
2004-05,John Arne Riise,6
2004-05,Djibril Cisse,4
2004-05,Fernando Morientes,3
2004-05,Own goals,3
2004-05,Florent Sinama-Pongolle,2
2004-05,Igor Biscan,2
2004-05,Neil Mellor,2
2004-05,Sami Hyypia,2
2004-05,Xabi Alonso,2
2004-05,Harry Kewell,1
2004-05,Steve Finnan,1
2005-06,Steven Gerrard,10
2005-06,Djibril Cisse,9
2005-06,Peter Crouch,8
2005-06,Luis Garcia,7
2005-06,Fernando Morientes,5
2005-06,Robbie Fowler,5
2005-06,Harry Kewell,3
2005-06,Xabi Alonso,3
2005-06,Bolo Zenden,2
2005-06,Own goals,2
2005-06,John Arne Riise,1
2005-06,Sami Hyypia,1
2005-06,Stephen Warnock,1
2006-07,Dirk Kuyt,12
2006-07,Peter Crouch,9
2006-07,Craig Bellamy,7
2006-07,Steven Gerrard,7
2006-07,Xabi Alonso,4
2006-07,Luis Garcia,3
2006-07,Robbie Fowler,3
2006-07,Daniel Agger,2
2006-07,Mark Gonzalez,2
2006-07,Sami Hyypia,2
2006-07,Alvaro Arbeloa,1
2006-07,Harry Kewell,1
2006-07,Jamie Carragher,1
2006-07,Jermaine Pennant,1
2006-07,John Arne Riise,1
2006-07,Own goals,1
2007-08,Fernando Torres,24
2007-08,Steven Gerrard,11
2007-08,Andriy Voronin,5
2007-08,Peter Crouch,5
2007-08,Ryan Babel,4
2007-08,Yossi Benayoun,4
2007-08,Dirk Kuyt,3
2007-08,Own goals,3
2007-08,Jermaine Pennant,2
2007-08,Xabi Alonso,2
2007-08,Fabio Aurelio,1
2007-08,Javier Mascherano,1
2007-08,Momo Sissoko,1
2007-08,Sami Hyypia,1
2008-09,Steven Gerrard,16
2008-09,Fernando Torres,14
2008-09,Dirk Kuyt,12
2008-09,Yossi Benayoun,8
2008-09,Robbie Keane,5
2008-09,Xabi Alonso,4
2008-09,Albert Riera,3
2008-09,Ryan Babel,3
2008-09,David N'Gog,2
2008-09,Fabio Aurelio,2
2008-09,Own goals,2
2008-09,Alvaro Arbeloa,1
2008-09,Andrea Dossena,1
2008-09,Daniel Agger,1
2008-09,Jamie Carragher,1
2008-09,Lucas Leiva,1
2008-09,Sami Hyypia,1
2009-10,Fernando Torres,18
2009-10,Dirk Kuyt,9
2009-10,Steven Gerrard,9
2009-10,Yossi Benayoun,6
2009-10,David N'Gog,5
2009-10,Ryan Babel,4
2009-10,Glen Johnson,3
2009-10,Own goals,3
2009-10,Alberto Aquilani,1
2009-10,Martin Skrtel,1
2009-10,Maxi Rodriguez,1
2009-10,Sotirios Kyrgiakos,1
2010-11,Dirk Kuyt,13
2010-11,Maxi Rodriguez,10
2010-11,Fernando Torres,9
2010-11,Raul Meireles,5
2010-11,Luis Suarez,4
2010-11,Steven Gerrard,4
2010-11,Andy Carroll,2
2010-11,David N'Gog,2
2010-11,Glen Johnson,2
2010-11,Joe Cole,2
2010-11,Martin Skrtel,2
2010-11,Sotirios Kyrgiakos,2
2010-11,Own goals,1
2010-11,Ryan Babel,1
2011-12,Luis Suarez,11
2011-12,Craig Bellamy,6
2011-12,Own goals,5
2011-12,Steven Gerrard,5
2011-12,Andy Carroll,4
2011-12,Maxi Rodriguez,4
2011-12,Charlie Adam,2
2011-12,Dirk Kuyt,2
2011-12,Jordan Henderson,2
2011-12,Martin Skrtel,2
2011-12,Daniel Agger,1
2011-12,Glen Johnson,1
2011-12,Jonjo Shelvey,1
2011-12,Sebastian Coates,1
2012-13,Luis Suarez,23
2012-13,Daniel Sturridge,10
2012-13,Steven Gerrard,9
2012-13,Jordan Henderson,5
2012-13,Own goals,4
2012-13,Daniel Agger,3
2012-13,Philippe Coutinho,3
2012-13,Stewart Downing,3
2012-13,Jose Enrique,2
2012-13,Martin Skrtel,2
2012-13,Raheem Sterling,2
2012-13,Fabio Borini,1
2012-13,Glen Johnson,1
2012-13,Joe Cole,1
2012-13,Jonjo Shelvey,1
2012-13,Nuri Sahin,1
2013-14,Luis Suarez,31
2013-14,Daniel Sturridge,21
2013-14,Steven Gerrard,13
2013-14,Raheem Sterling,9
2013-14,Martin Skrtel,7
2013-14,Own goals,5
2013-14,Philippe Coutinho,5
2013-14,Jordan Henderson,4
2013-14,Daniel Agger,2
2013-14,Joe Allen,1
2013-14,Jon Flanagan,1
2013-14,Mamadou Sakho,1
2013-14,Victor Moses,1
2014-15,Steven Gerrard,9
2014-15,Raheem Sterling,7
2014-15,Jordan Henderson,6
2014-15,Adam Lallana,5
2014-15,Philippe Coutinho,5
2014-15,Daniel Sturridge,4
2014-15,Own goals,4
2014-15,Alberto Moreno,2
2014-15,Lazar Markovic,2
2014-15,Rickie Lambert,2
2014-15,Emre Can,1
2014-15,Fabio Borini,1
2014-15,Glen Johnson,1
2014-15,Joe Allen,1
2014-15,Mario Balotelli,1
2014-15,Martin Skrtel,1
