Season,Player,LeagueGoals,Manager
1900-01,Sam Raybould,17,Tom Watson
1900-01,Jack Cox,10,Tom Watson
1905-06,Joe Hewitt,24,Tom Watson
1905-06,Sam Raybould,11,Tom Watson
1921-22,Harry Chambers,19,David Ashworth
1921-22,Dick Forshaw,17,David Ashworth
1922-23,Harry Chambers,22,Matt McQueen
1922-23,Dick Forshaw,19,Matt McQueen
1946-47,Albert Stubbins,24,George Kay
1946-47,Jack Balmer,24,George Kay
1963-64,Roger Hunt,31,Bill Shankly
1963-64,Ian St John,21,Bill Shankly
1965-66,Roger Hunt,29,Bill Shankly
1965-66,Ian St John,10,Bill Shankly
1972-73,John Toshack,13,Bill Shankly
1972-73,Kevin Keegan,13,Bill Shankly
1975-76,John Toshack,16,Bob Paisley
1975-76,Kevin Keegan,12,Bob Paisley
1976-77,Kevin Keegan,12,Bob Paisley
1976-77,John Toshack,10,Bob Paisley
1978-79,Kenny Dalglish,21,Bob Paisley
1978-79,David Johnson,16,Bob Paisley
1979-80,David Johnson,21,Bob Paisley
1979-80,Kenny Dalglish,16,Bob Paisley
1981-82,Ian Rush,17,Bob Paisley
1981-82,Terry McDermott,14,Bob Paisley
1982-83,Ian Rush,24,Bob Paisley
1982-83,Kenny Dalglish,18,Bob Paisley
1983-84,Ian Rush,32,Joe Fagan
1983-84,Kenny Dalglish / Graeme Souness,7,Joe Fagan
1985-86,Ian Rush,22,Kenny Dalglish
1985-86,Jan Molby,14,Kenny Dalglish
1987-88,John Aldridge,26,Kenny Dalglish
1987-88,Peter Beardsley / John Barnes,15,Kenny Dalglish
1989-90,John Barnes,22,Kenny Dalglish
1989-90,Ian Rush,18,Kenny Dalglish
